Date,NDVI_FishIsland,NDVI_Footprint,NDVI_FishIsland_Daily
13-Jun-09,0.18,0.201,0.025
14-Jun-09,0.203,0.205,0.15
15-Jun-09,0.211,0.206,0.148
16-Jun-09,0.215,0.206,0.199
17-Jun-09,0.228,0.208,0.2
18-Jun-09,0.229,0.208,0.219
19-Jun-09,0.234,0.216,0.159
20-Jun-09,0.235,0.216,0.223
21-Jun-09,0.236,0.216,0.193
22-Jun-09,0.252,0.227,0.139
23-Jun-09,0.263,0.231,0.165
24-Jun-09,0.275,0.241,0.25
25-Jun-09,0.279,0.243,0.164
26-Jun-09,0.286,0.25,0.375
27-Jun-09,0.299,0.263,0.068
28-Jun-09,0.305,0.267,0.043
29-Jun-09,0.312,0.272,0.282
30-Jun-09,0.314,0.273,0.294
1-Jul-09,0.326,0.284,0.386
2-Jul-09,0.334,0.291,0.245
3-Jul-09,0.348,0.307,0.025
4-Jul-09,0.35,0.308,0.365
5-Jul-09,0.351,0.308,0.411
6-Jul-09,0.35,0.307,0.334
7-Jul-09,0.351,0.308,0.144
8-Jul-09,0.36,0.316,0.401
9-Jul-09,0.364,0.32,0.353
10-Jul-09,0.379,0.329,0.35
11-Jul-09,0.384,0.334,0.353
12-Jul-09,0.39,0.34,0.148
13-Jul-09,0.404,0.35,0.375
14-Jul-09,0.406,0.351,0.058
15-Jul-09,0.41,0.356,0.356
16-Jul-09,0.411,0.356,0.331
17-Jul-09,0.415,0.361,0.42
18-Jul-09,0.421,0.365,0.395
19-Jul-09,0.429,0.37,0.41
20-Jul-09,0.439,0.378,0.435
21-Jul-09,0.439,0.379,0.431
22-Jul-09,0.439,0.376,0.312
23-Jul-09,0.439,0.377,0.055
24-Jul-09,0.438,0.377,0.292
25-Jul-09,0.438,0.377,0.431
26-Jul-09,0.443,0.386,0.584
27-Jul-09,0.445,0.394,0.569
28-Jul-09,0.458,0.413,0.267
29-Jul-09,0.45,0.399,0.12
30-Jul-09,0.463,0.464,0.477
31-Jul-09,0.581,0.468,0.15
1-Aug-09,0.583,0.472,0.012
2-Aug-09,0.585,0.476,0.746
3-Aug-09,0.587,0.479,0.009
4-Aug-09,0.622,0.483,0.627
5-Aug-09,0.634,0.506,0.202
6-Aug-09,0.577,0.506,0.033
7-Aug-09,0.577,0.505,0.221
8-Aug-09,0.577,0.505,0.135
9-Aug-09,0.614,0.835,-0.008
10-Aug-09,0.576,0.835,0.026
11-Aug-09,0.503,0.431,0.039
12-Aug-09,0.502,0.428,0.415
13-Aug-09,0.56,0.452,0.489
14-Aug-09,0.572,0.512,0.022
15-Aug-09,0.55,0.487,0.295
16-Aug-09,0.553,0.507,0.003
17-Aug-09,0.547,0.504,0.135
18-Aug-09,0.545,0.504,0.577
19-Aug-09,0.544,0.502,0.111
20-Aug-09,0.543,0.501,0.531
21-Aug-09,0.543,0.501,0.507
22-Aug-09,0.542,0.5,0.484
23-Aug-09,0.542,0.499,0.561
24-Aug-09,0.53,0.487,0.514
25-Aug-09,0.525,0.488,0.017
26-Aug-09,0.515,0.481,0.005
27-Aug-09,0.464,0.424,0.11
28-Aug-09,0.463,0.423,-0.002
29-Aug-09,0.466,0.426,0.015
30-Aug-09,0.448,0.413,0.035
31-Aug-09,0.443,0.409,0.43
1-Sep-09,0.431,0.399,0.438
2-Sep-09,0.409,0.387,0.442
3-Sep-09,0.404,0.385,0.387
4-Sep-09,0.404,0.386,0.043
5-Sep-09,0.399,0.38,0.469
6-Sep-09,0.398,0.38,0.386
7-Sep-09,0.397,0.379,0.239
8-Sep-09,0.396,0.374,0.348
9-Sep-09,0.389,0.365,0.33
10-Sep-09,0.384,0.363,0.379
11-Sep-09,0.384,0.364,0.033
12-Sep-09,0.383,0.367,0.349
13-Sep-09,0.383,0.367,0.035
14-Sep-09,0.374,0.355,0.06
15-Sep-09,0.369,0.346,0.368
16-Sep-09,0.371,0.348,0.405
17-Sep-09,0.37,0.344,0.243
18-Sep-09,0.371,0.345,-0.01
19-Sep-09,0.374,0.333,0.003
20-Sep-09,0.376,0.336,-0.007
21-Sep-09,0.384,0.345,0.002
22-Sep-09,0.385,0.347,0.027
23-Sep-09,0.387,0.351,0.039
24-Sep-09,0.332,0.032,0.013
25-Sep-09,0.175,-0.035,0.222
26-Sep-09,0.119,-0.034,-0.031
27-Sep-09,0.12,-0.034,0.047
28-Sep-09,0.09,-0.019,0.08
29-Sep-09,0.09,-0.019,0.014
30-Sep-09,0.091,-0.019,0.076
1-Oct-09,0.082,-0.112,0.025
2-Oct-09,0.073,-0.113,0.083
3-Oct-09,0.073,-0.114,0.082
4-Oct-09,0.034,-0.096,0.015
5-Oct-09,0.046,0.041,0.008
6-Oct-09,0.046,0.041,0.006
7-Oct-09,0.046,0.042,0.002
8-Oct-09,0.046,0.042,0.045
9-Oct-09,0.048,0.035,0.104
10-Oct-09,0.049,0.036,0.006
11-Oct-09,0.045,0.036,0.12
12-Oct-09,0.046,0.037,0.135
13-Oct-09,0.026,0.031,0.029
14-Oct-09,0.026,0.031,0.022
15-Oct-09,0.025,0.031,0.011
16-Oct-09,0.022,0.022,-0.021
17-Oct-09,0.045,0.026,0.004
18-Oct-09,0.041,0.024,0.011
19-Oct-09,0.041,0.024,-0.096
20-Oct-09,0.029,0.015,0.035
21-Oct-09,0.032,,-0.016
22-Oct-09,0.033,,-0.013
23-Oct-09,0.034,,-0.034
24-Oct-09,0.035,,0.03
25-Oct-09,0.036,,0.044
26-Oct-09,0.037,,-0.018
27-Oct-09,,,-0.082
28-Oct-09,,,-0.074
29-Oct-09,,,-0.14
30-Oct-09,,,-0.077
31-Oct-09,,,-0.073
1-Nov-09,,,-0.166
2-Nov-09,,,-0.056
3-Nov-09,,,-0.105
4-Nov-09,,,0.125
5-Nov-09,,,0.21
6-Nov-09,,,0.109
7-Nov-09,,,0.112
8-Nov-09,,,0.003
9-Nov-09,,,0.123
10-Nov-09,,,0.152
11-Nov-09,,,0.16
12-Nov-09,,,-0.033
13-Nov-09,,,0.183
14-Nov-09,,,0.04
15-Nov-09,,,0.066
16-Nov-09,,,0.212
17-Nov-09,,,0.13
18-Nov-09,,,0.127
19-Nov-09,,,0.1
20-Nov-09,,,0.237
21-Nov-09,,,0.226
22-Nov-09,,,0.172
23-Nov-09,,,0.084
24-Nov-09,,,0.179
25-Nov-09,,,0.041
26-Nov-09,,,0.238
27-Nov-09,,,0.151
28-Nov-09,,,0.29
29-Nov-09,,,0.143
30-Nov-09,,,0.332
1-Dec-09,,,0.095
2-Dec-09,,,
3-Dec-09,,,0.385
4-Dec-09,,,
5-Dec-09,,,0.176
6-Dec-09,,,
7-Dec-09,,,
8-Dec-09,,,
9-Dec-09,,,
10-Dec-09,,,
11-Dec-09,,,
12-Dec-09,,,
13-Dec-09,,,
14-Dec-09,,,
15-Dec-09,,,
16-Dec-09,,,
17-Dec-09,,,
18-Dec-09,,,
19-Dec-09,,,
20-Dec-09,,,
21-Dec-09,,,
22-Dec-09,,,
23-Dec-09,,,
24-Dec-09,,,
25-Dec-09,,,
26-Dec-09,,,
27-Dec-09,,,
28-Dec-09,,,
29-Dec-09,,,
30-Dec-09,,,
31-Dec-09,,,
1-Jan-10,,,
2-Jan-10,,,
3-Jan-10,,,
4-Jan-10,,,
5-Jan-10,,,
6-Jan-10,,,0.045
7-Jan-10,,,
8-Jan-10,,,0.162
9-Jan-10,,,0.354
10-Jan-10,,,
11-Jan-10,,,0.289
12-Jan-10,,,0.27
13-Jan-10,,,0.357
14-Jan-10,,,0.161
15-Jan-10,,,0.201
16-Jan-10,,,0.125
17-Jan-10,,,-0.028
18-Jan-10,,,0.25
19-Jan-10,,,0.112
20-Jan-10,,,0.106
21-Jan-10,,,0.149
22-Jan-10,,,0.076
23-Jan-10,,,0.233
24-Jan-10,,,0.17
25-Jan-10,,,0.154
26-Jan-10,,,0.199
27-Jan-10,,,0.243
28-Jan-10,,,0.13
29-Jan-10,,,0.192
30-Jan-10,,,0.084
31-Jan-10,,,0.113
1-Feb-10,,,0.112
2-Feb-10,,,0.141
3-Feb-10,,,0.161
4-Feb-10,,,0.189
5-Feb-10,,,0.162
6-Feb-10,,,0.062
7-Feb-10,,,-0.084
8-Feb-10,,,-0.105
9-Feb-10,,,-0.108
10-Feb-10,,,-0.13
11-Feb-10,,,-0.067
12-Feb-10,,,-0.144
13-Feb-10,,,-0.06
14-Feb-10,,,-0.087
15-Feb-10,,,-0.054
16-Feb-10,,,-0.066
17-Feb-10,,,-0.082
18-Feb-10,,,-0.075
19-Feb-10,,,-0.068
20-Feb-10,,,-0.069
21-Feb-10,,,-0.03
22-Feb-10,-0.109,,-0.044
23-Feb-10,-0.164,,-0.031
24-Feb-10,-0.161,,-0.028
25-Feb-10,-0.157,,-0.028
26-Feb-10,-0.128,,-0.04
27-Feb-10,-0.126,,-0.031
28-Feb-10,-0.124,,-0.033
1-Mar-10,-0.122,,-0.038
2-Mar-10,-0.139,,-0.043
